id,candidate_id,qplume,name,folder,date,datetime,window_col_off,window_row_off,window_width,window_height,subset,difficulty,label_path,has_plume,window_labels
ang20191016t152245_r1280_c0_w512_h512,,0.0,ang20191016t152245,/AVIRISNG/Permian2019/ang20191016t152245_r1280_c0_w512_h512,2019-10-16,2019-10-16 15:22:45+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191016t163955_r5977_c570_w151_h151,ang20191016t163955-K,327.7153497,ang20191016t163955,/AVIRISNG/Permian2019/ang20191016t163955_r5977_c570_w151_h151,2019-10-16,2019-10-16 16:39:55+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191016t163955-K_r5977_c570_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191017t182024_r9728_c0_w512_h512,,0.0,ang20191017t182024,/AVIRISNG/Permian2019/ang20191017t182024_r9728_c0_w512_h512,2019-10-17,2019-10-17 18:20:24+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190923t190921_r12288_c256_w512_h512,,0.0,ang20190923t190921,/AVIRISNG/Permian2019/ang20190923t190921_r12288_c256_w512_h512,2019-09-23,2019-09-23 19:09:21+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191006t152009_r2975_c354_w151_h151,ang20191006t152009-C,332.8250119,ang20191006t152009,/AVIRISNG/Permian2019/ang20191006t152009_r2975_c354_w151_h151,2019-10-06,2019-10-06 15:20:09+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191006t152009-C_r2975_c354_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191023t180821_r2304_c0_w512_h512,,0.0,ang20191023t180821,/AVIRISNG/Permian2019/ang20191023t180821_r2304_c0_w512_h512,2019-10-23,2019-10-23 18:08:21+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191019t155740_r6736_c262_w151_h151,ang20191019t155740-3,1001.38144,ang20191019t155740,/AVIRISNG/Permian2019/ang20191019t155740_r6736_c262_w151_h151,2019-10-19,2019-10-19 15:57:40+00:00,0,0,512,512,train,easy,gs://starcop/Permian/permian_2019_official/ang20191019t155740-3_r6736_c262_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191007t195115_r1797_c316_w151_h151,ang20191007t195115-3,477.718543,ang20191007t195115,/AVIRISNG/Permian2019/ang20191007t195115_r1797_c316_w151_h151,2019-10-07,2019-10-07 19:51:15+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191007t195115-3_r1797_c316_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20190923t192543_r11520_c256_w512_h512,,0.0,ang20190923t192543,/AVIRISNG/Permian2019/ang20190923t192543_r11520_c256_w512_h512,2019-09-23,2019-09-23 19:25:43+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190927t171836_r2892_c424_w151_h151,ang20190927t171836-A,209.3345854,ang20190927t171836,/AVIRISNG/Permian2019/ang20190927t171836_r2892_c424_w151_h151,2019-09-27,2019-09-27 17:18:36+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20190927t171836-A_r2892_c424_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191007t180411_r2304_c0_w512_h512,,0.0,ang20191007t180411,/AVIRISNG/Permian2019/ang20191007t180411_r2304_c0_w512_h512,2019-10-07,2019-10-07 18:04:11+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191013t152730_r7630_c346_w151_h151,ang20191013t152730-13,221.783258,ang20191013t152730,/AVIRISNG/Permian2019/ang20191013t152730_r7630_c346_w151_h151,2019-10-13,2019-10-13 15:27:30+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191013t152730-13_r7630_c346_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191017t185057_r7015_c267_w151_h151,ang20191017t185057-E,304.373856,ang20191017t185057,/AVIRISNG/Permian2019/ang20191017t185057_r7015_c267_w151_h151,2019-10-17,2019-10-17 18:50:57+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191017t185057-E_r7015_c267_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191023t194035_r453_c807_w151_h151,ang20191023t194035-3,554.133585,ang20191023t194035,/AVIRISNG/Permian2019/ang20191023t194035_r453_c807_w151_h151,2019-10-23,2019-10-23 19:40:35+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191023t194035-3_r453_c807_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191006t172739_r5800_c429_w151_h151,ang20191006t172739-F,142.8022206,ang20191006t172739,/AVIRISNG/Permian2019/ang20191006t172739_r5800_c429_w151_h151,2019-10-06,2019-10-06 17:27:39+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191006t172739-F_r5800_c429_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20190923t195907_r7563_c6_w151_h151,ang20190923t195907-A,238.3817356,ang20190923t195907,/AVIRISNG/Permian2019/ang20190923t195907_r7563_c6_w151_h151,2019-09-23,2019-09-23 19:59:07+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20190923t195907-A_r7563_c6_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191013t151222_r9216_c0_w512_h512,,0.0,ang20191013t151222,/AVIRISNG/Permian2019/ang20191013t151222_r9216_c0_w512_h512,2019-10-13,2019-10-13 15:12:22+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191010t185941_r5120_c0_w512_h512,,0.0,ang20191010t185941,/AVIRISNG/Permian2019/ang20191010t185941_r5120_c0_w512_h512,2019-10-10,2019-10-10 18:59:41+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191017t152518_r1992_c496_w151_h151,ang20191017t152518-B,285.9166194,ang20191017t152518,/AVIRISNG/Permian2019/ang20191017t152518_r1992_c496_w151_h151,2019-10-17,2019-10-17 15:25:18+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191017t152518-B_r1992_c496_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191017t183448_r5698_c240_w151_h151,ang20191017t183448-C,315.0643204,ang20191017t183448,/AVIRISNG/Permian2019/ang20191017t183448_r5698_c240_w151_h151,2019-10-17,2019-10-17 18:34:48+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191017t183448-C_r5698_c240_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191010t193818_r2146_c142_w151_h151,ang20191010t193818-1,2336.09494,ang20191010t193818,/AVIRISNG/Permian2019/ang20191010t193818_r2146_c142_w151_h151,2019-10-10,2019-10-10 19:38:18+00:00,0,0,512,512,train,easy,gs://starcop/Permian/permian_2019_official/ang20191010t193818-1_r2146_c142_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191017t144928_r8839_c75_w151_h151,ang20191017t144928-12,482.097677,ang20191017t144928,/AVIRISNG/Permian2019/ang20191017t144928_r8839_c75_w151_h151,2019-10-17,2019-10-17 14:49:28+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191017t144928-12_r8839_c75_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191005t210402_r13056_c0_w512_h512,,0.0,ang20191005t210402,/AVIRISNG/Permian2019/ang20191005t210402_r13056_c0_w512_h512,2019-10-05,2019-10-05 21:04:02+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191006t174505_r1280_c0_w512_h512,,0.0,ang20191006t174505,/AVIRISNG/Permian2019/ang20191006t174505_r1280_c0_w512_h512,2019-10-06,2019-10-06 17:45:05+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191022t190019_r4352_c0_w512_h512,,0.0,ang20191022t190019,/AVIRISNG/Permian2019/ang20191022t190019_r4352_c0_w512_h512,2019-10-22,2019-10-22 19:00:19+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191017t182024_r7936_c0_w512_h512,,0.0,ang20191017t182024,/AVIRISNG/Permian2019/ang20191017t182024_r7936_c0_w512_h512,2019-10-17,2019-10-17 18:20:24+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191023t175603_r7168_c0_w512_h512,,0.0,ang20191023t175603,/AVIRISNG/Permian2019/ang20191023t175603_r7168_c0_w512_h512,2019-10-23,2019-10-23 17:56:03+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190928t185111_r1236_c350_w151_h151,ang20190928t185111-C,423.3571014,ang20190928t185111,/AVIRISNG/Permian2019/ang20190928t185111_r1236_c350_w151_h151,2019-09-28,2019-09-28 18:51:11+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20190928t185111-C_r1236_c350_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191016t175642_r3709_c249_w151_h151,ang20191016t175642-1,2074.9596,ang20191016t175642,/AVIRISNG/Permian2019/ang20191016t175642_r3709_c249_w151_h151,2019-10-16,2019-10-16 17:56:42+00:00,0,0,512,512,train,easy,gs://starcop/Permian/permian_2019_official/ang20191016t175642-1_r3709_c249_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20190927t194104_r1024_c0_w512_h512,,0.0,ang20190927t194104,/AVIRISNG/Permian2019/ang20190927t194104_r1024_c0_w512_h512,2019-09-27,2019-09-27 19:41:04+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191016t153826_r5359_c360_w151_h151,ang20191016t153826-G,464.4373251,ang20191016t153826,/AVIRISNG/Permian2019/ang20191016t153826_r5359_c360_w151_h151,2019-10-16,2019-10-16 15:38:26+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191016t153826-G_r5359_c360_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20190926t180335_r5137_c294_w151_h151,ang20190926t180335-5,1972.8963,ang20190926t180335,/AVIRISNG/Permian2019/ang20190926t180335_r5137_c294_w151_h151,2019-09-26,2019-09-26 18:03:35+00:00,0,0,512,512,train,easy,gs://starcop/Permian/permian_2019_official/ang20190926t180335-5_r5137_c294_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191013t154421_r4352_c256_w512_h512,,0.0,ang20191013t154421,/AVIRISNG/Permian2019/ang20191013t154421_r4352_c256_w512_h512,2019-10-13,2019-10-13 15:44:21+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191013t164602_r10496_c0_w512_h512,,0.0,ang20191013t164602,/AVIRISNG/Permian2019/ang20191013t164602_r10496_c0_w512_h512,2019-10-13,2019-10-13 16:46:02+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191011t182731_r1443_c388_w151_h151,ang20191011t182731-E,353.2959381,ang20191011t182731,/AVIRISNG/Permian2019/ang20191011t182731_r1443_c388_w151_h151,2019-10-11,2019-10-11 18:27:31+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191011t182731-E_r1443_c388_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191008t194115_r6913_c529_w151_h151,ang20191008t194115-B,248.2805633,ang20191008t194115,/AVIRISNG/Permian2019/ang20191008t194115_r6913_c529_w151_h151,2019-10-08,2019-10-08 19:41:15+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191008t194115-B_r6913_c529_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20190927t173620_r12544_c256_w512_h512,,0.0,ang20190927t173620,/AVIRISNG/Permian2019/ang20190927t173620_r12544_c256_w512_h512,2019-09-27,2019-09-27 17:36:20+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191007t195115_r1971_c521_w151_h151,ang20191007t195115-C,228.8129985,ang20191007t195115,/AVIRISNG/Permian2019/ang20191007t195115_r1971_c521_w151_h151,2019-10-07,2019-10-07 19:51:15+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191007t195115-C_r1971_c521_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191007t185303_r9984_c0_w512_h512,,0.0,ang20191007t185303,/AVIRISNG/Permian2019/ang20191007t185303_r9984_c0_w512_h512,2019-10-07,2019-10-07 18:53:03+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191017t180347_r0_c0_w512_h512,,0.0,ang20191017t180347,/AVIRISNG/Permian2019/ang20191017t180347_r0_c0_w512_h512,2019-10-17,2019-10-17 18:03:47+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191006t153731_r4626_c267_w151_h151,ang20191006t153731-A,192.1692028,ang20191006t153731,/AVIRISNG/Permian2019/ang20191006t153731_r4626_c267_w151_h151,2019-10-06,2019-10-06 15:37:31+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191006t153731-A_r4626_c267_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191011t165345_r0_c0_w512_h512,,0.0,ang20191011t165345,/AVIRISNG/Permian2019/ang20191011t165345_r0_c0_w512_h512,2019-10-11,2019-10-11 16:53:45+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191019t172500_r9216_c256_w512_h512,,0.0,ang20191019t172500,/AVIRISNG/Permian2019/ang20191019t172500_r9216_c256_w512_h512,2019-10-19,2019-10-19 17:25:00+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190927t190436_r8004_c498_w151_h151,ang20190927t190436-B,231.3270528,ang20190927t190436,/AVIRISNG/Permian2019/ang20190927t190436_r8004_c498_w151_h151,2019-09-27,2019-09-27 19:04:36+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20190927t190436-B_r8004_c498_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20190927t154855_r7168_c256_w512_h512,,0.0,ang20190927t154855,/AVIRISNG/Permian2019/ang20190927t154855_r7168_c256_w512_h512,2019-09-27,2019-09-27 15:48:55+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190923t174142_r7604_c458_w151_h151,ang20190923t174142-14,375.447796,ang20190923t174142,/AVIRISNG/Permian2019/ang20190923t174142_r7604_c458_w151_h151,2019-09-23,2019-09-23 17:41:42+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20190923t174142-14_r7604_c458_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191006t153731_r6144_c0_w512_h512,,0.0,ang20191006t153731,/AVIRISNG/Permian2019/ang20191006t153731_r6144_c0_w512_h512,2019-10-06,2019-10-06 15:37:31+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191011t152413_r8823_c513_w151_h151,ang20191011t152413-2,2845.3943,ang20191011t152413,/AVIRISNG/Permian2019/ang20191011t152413_r8823_c513_w151_h151,2019-10-11,2019-10-11 15:24:13+00:00,0,0,512,512,train,easy,gs://starcop/Permian/permian_2019_official/ang20191011t152413-2_r8823_c513_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191010t174755_r13056_c512_w512_h512,,0.0,ang20191010t174755,/AVIRISNG/Permian2019/ang20191010t174755_r13056_c512_w512_h512,2019-10-10,2019-10-10 17:47:55+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191006t183904_r6303_c119_w151_h151,ang20191006t183904-3,751.824738,ang20191006t183904,/AVIRISNG/Permian2019/ang20191006t183904_r6303_c119_w151_h151,2019-10-06,2019-10-06 18:39:04+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191006t183904-3_r6303_c119_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191023t165811_r2770_c365_w151_h151,ang20191023t165811-G,181.4384451,ang20191023t165811,/AVIRISNG/Permian2019/ang20191023t165811_r2770_c365_w151_h151,2019-10-23,2019-10-23 16:58:11+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191023t165811-G_r2770_c365_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20190926t193117_r7793_c333_w151_h151,ang20190926t193117-3,849.764108,ang20190926t193117,/AVIRISNG/Permian2019/ang20190926t193117_r7793_c333_w151_h151,2019-09-26,2019-09-26 19:31:17+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20190926t193117-3_r7793_c333_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191007t195115_r11314_c112_w151_h151,ang20191007t195115-G,138.2006666,ang20191007t195115,/AVIRISNG/Permian2019/ang20191007t195115_r11314_c112_w151_h151,2019-10-07,2019-10-07 19:51:15+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191007t195115-G_r11314_c112_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191017t160033_r8448_c256_w512_h512,,0.0,ang20191017t160033,/AVIRISNG/Permian2019/ang20191017t160033_r8448_c256_w512_h512,2019-10-17,2019-10-17 16:00:33+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191011t182731_r2914_c320_w151_h151,ang20191011t182731-F,423.1430225,ang20191011t182731,/AVIRISNG/Permian2019/ang20191011t182731_r2914_c320_w151_h151,2019-10-11,2019-10-11 18:27:31+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191011t182731-F_r2914_c320_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191010t152203_r8448_c0_w512_h512,,0.0,ang20191010t152203,/AVIRISNG/Permian2019/ang20191010t152203_r8448_c0_w512_h512,2019-10-10,2019-10-10 15:22:03+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191017t180347_r5504_c0_w151_h151,ang20191017t180347-C,119.9878109,ang20191017t180347,/AVIRISNG/Permian2019/ang20191017t180347_r5504_c0_w151_h151,2019-10-17,2019-10-17 18:03:47+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191017t180347-C_r5504_c0_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191006t172739_r10496_c0_w512_h512,,0.0,ang20191006t172739,/AVIRISNG/Permian2019/ang20191006t172739_r10496_c0_w512_h512,2019-10-06,2019-10-06 17:27:39+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191017t152518_r13050_c28_w151_h151,ang20191017t152518-7,730.583905,ang20191017t152518,/AVIRISNG/Permian2019/ang20191017t152518_r13050_c28_w151_h151,2019-10-17,2019-10-17 15:25:18+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191017t152518-7_r13050_c28_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191005t221554_r15616_c0_w512_h512,,0.0,ang20191005t221554,/AVIRISNG/Permian2019/ang20191005t221554_r15616_c0_w512_h512,2019-10-05,2019-10-05 22:15:54+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191006t152009_r9984_c0_w512_h512,,0.0,ang20191006t152009,/AVIRISNG/Permian2019/ang20191006t152009_r9984_c0_w512_h512,2019-10-06,2019-10-06 15:20:09+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191022t190019_r6904_c397_w151_h151,ang20191022t190019-4,1216.22649,ang20191022t190019,/AVIRISNG/Permian2019/ang20191022t190019_r6904_c397_w151_h151,2019-10-22,2019-10-22 19:00:19+00:00,0,0,512,512,train,easy,gs://starcop/Permian/permian_2019_official/ang20191022t190019-4_r6904_c397_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191013t192848_r7680_c256_w512_h512,,0.0,ang20191013t192848,/AVIRISNG/Permian2019/ang20191013t192848_r7680_c256_w512_h512,2019-10-13,2019-10-13 19:28:48+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191023t175603_r3328_c0_w512_h512,,0.0,ang20191023t175603,/AVIRISNG/Permian2019/ang20191023t175603_r3328_c0_w512_h512,2019-10-23,2019-10-23 17:56:03+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191007t184008_r10222_c448_w151_h151,ang20191007t184008-H,401.556236,ang20191007t184008,/AVIRISNG/Permian2019/ang20191007t184008_r10222_c448_w151_h151,2019-10-07,2019-10-07 18:40:08+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191007t184008-H_r10222_c448_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191023t193139_r4864_c0_w512_h512,,0.0,ang20191023t193139,/AVIRISNG/Permian2019/ang20191023t193139_r4864_c0_w512_h512,2019-10-23,2019-10-23 19:31:39+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191008t153517_r13312_c0_w512_h512,,0.0,ang20191008t153517,/AVIRISNG/Permian2019/ang20191008t153517_r13312_c0_w512_h512,2019-10-08,2019-10-08 15:35:17+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191017t191119_r9728_c0_w512_h512,,0.0,ang20191017t191119,/AVIRISNG/Permian2019/ang20191017t191119_r9728_c0_w512_h512,2019-10-17,2019-10-17 19:11:19+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191019t175004_r1812_c345_w151_h151,ang20191019t175004-A,98.06160645,ang20191019t175004,/AVIRISNG/Permian2019/ang20191019t175004_r1812_c345_w151_h151,2019-10-19,2019-10-19 17:50:04+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191019t175004-A_r1812_c345_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191023t152801_r9013_c303_w151_h151,ang20191023t152801-5,2070.15847,ang20191023t152801,/AVIRISNG/Permian2019/ang20191023t152801_r9013_c303_w151_h151,2019-10-23,2019-10-23 15:28:01+00:00,0,0,512,512,train,easy,gs://starcop/Permian/permian_2019_official/ang20191023t152801-5_r9013_c303_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
